"ISSCAAP","TAXOCODE","X3A_CODE","Scientific_name","English_name","French_name","Spanish_name","Arabic_name","Chinese_name","Russian_name","Author","Family","Order","Stats_data","geometry"
11,"1400202401","LBG","Labeo angra","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202403","LBB","Labeo bata","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202404","LBO","Labeo boga","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202405","LCB","Labeo calbasu","Orangefin labeo","Labéo","Labeo","لابِييُو","蓝野鲮","Калбасу","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202406","LBD","Labeo dero","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202408","LBM","Labeo dussumieri","","","","","","","(Valenciennes 1842)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202409","LBF","Labeo fimbriatus","Fringed-lipped peninsula carp","","","","","","(Bloch 1795)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202410","LBI","Labeo gonius","Kuria labeo","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202411","LBJ","Labeo kontius","","","","","","","(Jerdon 1849)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202412","LOI","Labeo microphthalmus","","","","","","","Day 1877","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202413","LON","Labeo nandina","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202414","LOH","Labeo pangusia","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202415","LRH","Labeo rohita","Roho labeo","Labéo Roho","Labeo Roho","لبيس روهو","南亚野鲮","Роху","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202416","LOD","Labeo sindensis","","","","","","","(Day 1872)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202417","LBV","Labeo altivelis","Rednose labeo","","","","","","Peters 1852","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202418","LBU","Labeo coubie","","","","","","","Rüppell 1832","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202419","LBY","Labeo cylindricus","Redeye labeo","","","","","","Peters 1868","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202420","LBL","Labeo darlingi","","","","","","","Boulenger 1902","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202421","LBK","Labeo forskalii","","","","","","","Rüppell 1836","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202422","LBN","Labeo fuelleborni","","","","","","","Hilgendorf & Pappenheim 1903","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202423","LBQ","Labeo horie","","","","","","","Heckel 1846-49","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202424","LOM","Labeo mesops","","","","","","","Günther 1868","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202425","LOL","Labeo niloticus","","","","","","","(Forsskål 1775)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202426","LOC","Labeo victorianus","Ningu","","","","","","Boulenger 1901","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202430","LBP","Labeo capensis","Orange River mudfish","","","","","","(Smith 1841)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202431","LBH","Labeo dyocheilus","","","","","","","(McClelland 1839)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202433","LOE","Labeo rosae","","","","","","","Steindachner 1894","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202435","EOU","Labeo umbratus","Moggel","","","","","","(Smith 1841)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202436","MOH","Labeo chrysophekadion","Black sharkminnow","","","","黑野鲮","","(Bleeker 1850)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202437","ZYS","Labeo congoro","Purple labeo","","","","","","Peters 1852","Cyprinidae","CYPRINIFORMES","NO",""
11,"14002024XX","RHI","Labeo spp","Rhinofishes nei","Labéos nca","Labeos nep","","","","","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202501","RNR","Cirrhinus cirrhosus","","","","","","","(Bloch 1795)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202502","MUC","Cirrhinus molitorella","Mud carp","Carpe de vase","Carpa de fango","شبّوط الوحل","鲮","Циррина ильная","(Valenciennes 1844)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202503","CMG","Cirrhinus mrigala","Mrigal carp","","","","","Мригала (=мригаль)","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202504","RNE","Cirrhinus reba","Reba carp","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202505","RNM","Cirrhinus microlepis","Small scale mud carp","","","","","Циррина ильная мелкочешуйчатая","Sauvage 1878","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202601","AVL","Algansea lacustris","Pátzcuaro chub","","Acúmara","","","","Steindachner 1895","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202801","ASJ","Aspidoparia jaya","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202802","ARR","Aspidoparia morar","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202901","ABA","Albulichthys albuloides","","","","","","","(Bleeker 1855)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203101","TCS","Catlocarpio siamensis","Giant barb","","","","","","Boulenger 1898","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203201","GUH","Chagunius chagunio","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203301","HEU","Chela cachius","","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203302","HEO","Chela laubuca","Indian glass barb","","","","","","(Hamilton 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203401","ILA","Crossocheilus latius","","","","","","","(Heckel 1838)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400203501","FCG","Ctenopharyngodon idella","Grass carp(=White amur)","Carpe herbivore(=chinoise)","Carpa china","شبّوط  الأعشاب، مبروك الأعشاب","草鱼","Амур белый","(Valenciennes 1844)","Cyprinidae","CYPRINIFORMES","YES",""
